OBJECTID,PERIMETER,LAKE_NAME,ID,ReferenceCSS_SDE_ADMINLAKE_MICHIGAN_SHORELINEAREA,ShapeSTArea,ShapeSTLength
1,5131164,Lake Michigan,1,58095673344,58095675359.59,5131163.83263944
2,241602.031,Lake Oskosh,2,553584128,553584154.414402,241602.024955394
