,animal_id,bin_timestamp,latitude,longitude,record_type
82,16176001,5/16/2014 4:59,41.63551057,-83.01616941,interpolated
83,16176001,5/16/2014 7:59,41.63672819,-83.01495179,interpolated
84,16176001,5/16/2014 10:59,41.6379458,-83.01373418,interpolated
85,16176001,5/16/2014 13:59,41.63916342,-83.01251656,interpolated
86,16176001,5/16/2014 16:59,41.64038104,-83.01129894,interpolated
87,16176001,5/16/2014 19:59,41.64159869,-83.01008129,interpolated
88,16176001,5/16/2014 22:59,41.64281634,-83.00886364,interpolated
89,16176001,5/17/2014 1:59,41.64403399,-83.00764599,interpolated
90,16176001,5/17/2014 4:59,41.64525164,-83.00642833,interpolated
91,16176001,5/17/2014 7:59,41.64646932,-83.00521065,interpolated
92,16176001,5/17/2014 10:59,41.64768701,-83.00399297,interpolated
93,16176001,5/17/2014 13:59,41.64890469,-83.00277529,interpolated
94,16176001,5/17/2014 16:59,41.65012237,-83.0015576,interpolated
95,16176001,5/17/2014 19:59,41.65134009,-83.00033989,interpolated
96,16176001,5/17/2014 22:59,41.6525578,-82.99912217,interpolated
97,16176001,5/18/2014 1:59,41.65377552,-82.99790446,interpolated
98,16176001,5/18/2014 4:59,41.65499323,-82.99668675,interpolated
99,16176001,5/18/2014 7:59,41.65621098,-82.995469,interpolated
100,16176001,5/18/2014 10:59,41.65742873,-82.99425125,interpolated
101,16176001,5/18/2014 13:59,41.65864648,-82.9930335,interpolated
102,16176001,5/18/2014 16:59,41.65986422,-82.99181575,interpolated
103,16176001,5/18/2014 19:59,41.661082,-82.99059798,interpolated
104,16176001,5/18/2014 22:59,41.66229978,-82.98938019,interpolated
105,16176001,5/19/2014 1:59,41.66351756,-82.98816241,interpolated
106,16176001,5/19/2014 4:59,41.66473535,-82.98694463,interpolated
107,16176001,5/19/2014 7:59,41.66595315,-82.98572682,interpolated
108,16176001,5/19/2014 10:59,41.66717097,-82.98450901,interpolated
109,16176001,5/19/2014 13:59,41.66838878,-82.98329119,interpolated
110,16176001,5/19/2014 16:59,41.6696066,-82.98207338,interpolated
111,16176001,5/19/2014 19:59,41.67082443,-82.98085554,interpolated
112,16176001,5/19/2014 22:59,41.67204228,-82.9796377,interpolated
113,16176001,5/20/2014 1:59,41.67326013,-82.97841985,interpolated
114,16176001,5/20/2014 4:59,41.67447798,-82.977202,interpolated
115,16176001,5/20/2014 7:59,41.67569584,-82.97598413,interpolated
116,16176001,5/20/2014 10:59,41.67691373,-82.97476625,interpolated
117,16176001,5/20/2014 13:59,41.67813161,-82.97354837,interpolated
118,16176001,5/20/2014 16:59,41.67934949,-82.97233049,interpolated
119,16176001,5/20/2014 19:59,41.68056738,-82.97111259,interpolated
120,16176001,5/20/2014 22:59,41.6817853,-82.96989468,interpolated
121,16176001,5/21/2014 1:59,41.68300321,-82.96867676,interpolated
122,16176001,5/21/2014 4:59,41.68422113,-82.96745885,interpolated
123,16176001,5/21/2014 7:59,41.68543905,-82.96624092,interpolated
124,16176001,5/21/2014 10:59,41.686657,-82.96502298,interpolated
125,16176001,5/21/2014 13:59,41.68787495,-82.96380503,interpolated
126,16176001,5/21/2014 16:59,41.6890929,-82.96258708,interpolated
127,16176001,5/21/2014 19:59,41.69031085,-82.96136913,interpolated
128,16176001,5/21/2014 22:59,41.69152883,-82.96015115,interpolated
129,16176001,5/22/2014 1:59,41.69274681,-82.95893316,interpolated
130,16176001,5/22/2014 4:59,41.69396479,-82.95771518,interpolated
131,16176001,5/22/2014 7:59,41.69518278,-82.9564972,interpolated
132,16176001,5/22/2014 10:59,41.69640079,-82.95527918,interpolated
133,16176001,5/22/2014 13:59,41.69761881,-82.95406117,interpolated
134,16176001,5/22/2014 16:59,41.69883682,-82.95284316,interpolated
135,16176001,5/22/2014 19:59,41.70005484,-82.95162514,interpolated
